Titre,Auteur,Note/5
Les Jardins statuaires,Jacques Abeille,4.18
Le veilleur du jour,Jacques Abeille,3.95
Les barbares,Jacques Abeille,4.19
Les Mers perdues,François Schuiten,4.23
La Barbarie,Jacques Abeille,4
Histoire de la bergère,Jacques Abeille,3.9
La vie de l'explorateur perdu,Jacques Abeille,4
"Le cycle des contrées, tome 3 : La clef des ombres",Jacques Abeille,3.57
"Le cycle des Contrées, Tome 3 : Les Voyages du Fils",Jacques Abeille,4
Les carnets de l'explorateur perdu,Jacques Abeille,3.81
Un homme plein de misère,Jacques Abeille,5
Les voyages du fils,Jacques Abeille,3.58
"Le cycle des Contrées, Tome 4 : Chroniques scandaleuses de Terrèbre",Jacques Abeille,3.39
De la vie d'une chienne,Jacques Abeille,3.83
Contes érotiques de Noël - 2019,Jacques Abeille,3.88
La demeure des lémures,Jacques Abeille,3.36
Fins de carrière,Jacques Abeille,3.94
Le cycle des Contrées : La grande danse de la réconciliation,Jacques Abeille,3.83
L'animal de compagnie,Jacques Abeille,2.5
Coffret érotique,Jacques Abeille,4.33
Zénobie la mystérieuse,Jacques Abeille,4.33
En mémoire morte,Jacques Abeille,2.75
Il n'y a pas de meilleur ami qu'un livre,Jacques Abeille,5
La guerre entre les arbres,Jacques Abeille,3.8
Princesse Johanna,Jacques Abeille,2.5
Odeur de sainteté,Jacques Abeille,4
Divinité du rêve,Jacques Abeille,2.67
Camille,Jacques Abeille,3
Pierre Molinier : Présence de l'exil,Jacques Abeille,4
L'homme nu,Jacques Abeille,3.25
Petites proses plus ou moins brisées,Jacques Abeille,
Séraphine la kimboiseuse,Jacques Abeille,5
Histoire de la Bonne,Jacques Abeille,3
L'amateur,Jacques Abeille,3
Le dieu errant,Jacques Abeille,
Un carnet d'excursion,Jacques Abeille,
Celles qui viennent avec la nuit,Jacques Abeille,
Rectangle n°3,Revue,4
Belle humeur en la demeure,Jacques Abeille,3
Le comparse,Jacques Abeille,
La fosse de Babel,Raymond Abellio,3.92
Les yeux d'Ezéchiel sont ouverts,Raymond Abellio,4.04
Heureux les pacifiques,Raymond Abellio,3.5
La structure absolue,Raymond Abellio,4.8
La fin de l'ésotérisme,Raymond Abellio,4.25
"Ma dernière mémoire, tome 1 : Un faubourg de Toulouse 1907-1927",Raymond Abellio,4
Introduction à une théorie des nombres bibliques,Raymond Abellio,5
"Ma dernière mémoire, tome 3 : Sol invictus 1939-1947",Raymond Abellio,3.5
Approches de la nouvelle Gnose,Raymond Abellio,3.5
Visages immobiles,Raymond Abellio,3
Assomption de l'Europe (Champs),Raymond Abellio,
"Ma dernière mémoire, tome 2 : Les Militants 1927-1939",Raymond Abellio,3.75
Vers un nouveau prophétisme,Raymond Abellio,3
Sol invictus,Raymond Abellio,
Montsegur,Raymond Abellio,5
Manifeste de la nouvelle gnose,Raymond Abellio,5
De la politique à la gnose. (suivis de) Généalogie et transfiguration de l'Occident : Entretiens avec Marie-Thérèse de Brosses,Raymond Abellio,4
Fondements d'éthique,Raymond Abellio,
Dans une âme et un corps,Raymond Abellio,
L' Or du millième matin,Armand Barbault,3
Le Hachereau,Mihail Sadoveanu,5
Proust,Pierre Abraham,5
"Europe, n°433/434 : La Cybernétique et les enseignants",Pierre Abraham,3
Tiens bon la rampe,Pierre Abraham,4.5
"Histoire littéraire de la France, tome 3 : De 1715 à 1789",Pierre Abraham,
Créatures chez balzac.,Pierre Abraham,
Dostoievski,Pierre Abraham,
"Théâtre complet, tome 1",Bertolt Brecht,3.5
L'égal de Dieu,Alain Absire,4.02
Lazare  ou le grand sommeil,Alain Absire,3.5
Mon sommeil sera paisible,Alain Absire,4.07
Jean S.,Alain Absire,3.88
Alessandro ou la guerre des chiens,Alain Absire,3.36
"Le chevalier à l'armure d'argent, Tome 1 : La malédiction de Jérusalem",Alain Absire,4
Lapidation,Alain Absire,3.67
Saga italienne,Alain Absire,2.9
Deux personnages sur un lit avec témoins,Alain Absire,3.1
Le Pauvre d'Orient,Alain Absire,2.8
Les noces fatales,Alain Absire,3.38
Baptiste ou la dernière saison,Alain Absire,3.88
Sulpicia,Alain Absire,1.5
Le livre d'où je viens : 16 écrivains racontent,Alain Absire,
Vasile Evanescu : L'homme à tête d'oiseau,Alain Absire,4.5
Déclaration d'amour,Alain Absire,4
Sans pays,Alain Absire,3
"Le chevalier à l'armure d'argent, Tome 2 : Les sorciers de la Mer Morte",Alain Absire,4
L'homme disparu,Alain Absire,3.33
"118, rue Terminale",Alain Absire,
Ces malades qui nous gouvernent,Pierre Accoce,3.67
"La guerre a été gagnée en Suisse. L'affaire Roessler, 1939-1945",Pierre Accoce,3.25
Médecins à Diên Biên Phu,Pierre Accoce,3.5
Ces nouveaux malades qui nous gouvernent,Pierre Accoce,3.5
Ces assassins qui ont voulu changer l'histoire,Pierre Accoce,
Les Français à Londres 1940-1941,Pierre Accoce,4
L'émigration des pyrénéens aux Amériques,Pierre Accoce,
The Lucy Ring,Pierre Accoce,4
Les gendarmes dans la Résistance,Pierre Accoce,
Sur les chemins de l'Acadie,Eugène Achard,3.5
La mort du grand sorcier et autres contes,Eugène Achard,
Le conte futur,Paul Adam,2.7
La Glèbe,Paul Adam,3.38
Chair molle,Paul Adam,3.83
Lettres de malaisie,Paul Adam,1
"Les Demoiselles Goubert, moeurs de Paris",Jean Moréas,4
La Force,Paul Adam,3
Le Sport à la une,Paul Adam,
Soi,Paul Adam,
La bibliothèque humaniste de selestat,Paul Adam,4.5
La Vie des élites. La Morale de l'amour,Paul Adam,
Le serpent noir,Paul Adam,
Le temps et la vie: le culte d'Icare,Paul Adam,
L'époque: le vice familial,Paul Adam,
Les Coeurs Utiles. L'Epoque.,Paul Adam,
Princesses byzantines: La très pieuse Irène. Anne Comnène,Paul Adam,
L a femme de la Vierge,Paul Adam,
La mésaventure,Paul Adam,5
"L'Humanisme à Selestat: l'école, les Humanistes, la bibliothèque",Paul Adam,5
Le Thé chez Miranda,Jean Moréas,
L'époque. Robes rouges,Paul Adam,
